"Season","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"1948","44256","11.2 %","8.0 %","1.40",".273",".358",".394",".753",".122","4.2",".286","","","-69.0","5710","478.6",".355","100"
"1949","44156","12.1 %","8.0 %","1.50",".271",".363",".393",".756",".123","4.2",".283","","","-60.8","5737","491.7",".358","100"
"1950","44655","11.5 %","8.5 %","1.36",".278",".366",".417",".783",".139","4.1",".289","","","-60.4","6150","590.0",".362","100"
"1951","44071","10.5 %","8.6 %","1.22",".267",".349",".392",".741",".125","4.1",".280","","","-7.4","5487","313.1",".346","100"
"1952","43899","10.1 %","9.8 %","1.03",".260",".340",".380",".720",".120","3.9",".276","","","-3.7","5148","354.0",".338","100"
"1953","43834","9.7 %","9.4 %","1.04",".270",".346",".397",".743",".127","3.8",".284","","","-21.4","5435","183.9",".341","100"
"1954","43939","10.0 %","9.6 %","1.04",".265",".341",".388",".729",".123","4.1",".278","","","-8.2","5097","118.6",".337","101"
"1955","44016","10.4 %","10.2 %","1.03",".266",".346",".397",".743",".130","3.8",".278","","","3.0","5433","305.2",".336","100"
"1956","44381","10.8 %","10.9 %","0.98",".267",".349",".408",".757",".141","4.2",".281","","","-1.7","5642","502.5",".340","100"
"1957","43680","9.4 %","11.1 %","0.84",".263",".335",".397",".732",".134","3.8",".277","","","-13.9","5148","277.5",".327","100"
"1958","43210","8.9 %","11.7 %","0.76",".262",".330",".397",".728",".136","3.9",".276","","","-12.1","5011","154.7",".325","100"
"1959","43690","9.2 %","11.7 %","0.79",".260",".332",".398",".730",".137","3.9",".274","","","2.9","5240","233.1",".326","100"
"1960","44006","9.6 %","11.4 %","0.84",".263",".337",".403",".740",".140","4.1",".277","","","8.9","5394","443.8",".332","100"
"1961","57524","9.9 %","12.1 %","0.82",".264",".339",".411",".750",".147","4.2",".278","","","7.2","7272","478.0",".334","100"
"1962","57735","9.4 %","12.3 %","0.77",".263",".335",".410",".745",".147","4.2",".278","","","0.8","7193","490.3",".332","100"
"1963","56897","8.5 %","13.6 %","0.62",".255",".322",".394",".716",".139","4.2",".274","","","27.5","6582","636.2",".319","100"
"1964","57228","8.7 %","14.6 %","0.60",".256",".324",".397",".721",".142","3.8",".277","","","12.8","6681","574.8",".320","100"
"1965","56780","9.0 %","14.1 %","0.63",".251",".321",".384",".705",".133","4.3",".273","","","9.9","6397","406.3",".314","100"
"1966","56034","8.5 %","14.2 %","0.60",".248",".315",".383",".698",".135","4.3",".269","","","7.5","6165","225.0",".309","100"
"1967","56343","8.6 %","14.9 %","0.58",".243",".312",".365",".677",".121","4.1",".269","","","-2.2","5928","282.1",".306","100"
"1968","55705","8.5 %","14.5 %","0.58",".238",".307",".352",".659",".114","4.3",".263","","","10.4","5497","377.9",".301","100"
"1969","68852","9.8 %","13.0 %","0.75",".254",".331",".384",".715",".129","4.1",".273","","","16.7","7949","581.7",".325","100"
"1970","68770","9.6 %","13.3 %","0.72",".258",".332",".394",".726",".136","3.9",".277","","","-28.3","8135","356.6",".326","100"
"1971","67480","9.2 %","12.8 %","0.72",".255",".327",".378",".705",".124","3.9",".275","","","-14.2","7449","512.0",".321","100"
"1972","63960","8.7 %","13.2 %","0.65",".246",".315",".356",".671",".109","3.9",".270","","","-5.5","6405","143.1",".307","100"
"1973","74414","8.9 %","13.2 %","0.67",".259",".328",".381",".710",".122","4.1",".282","","","-11.6","8401","208.0",".323","100"
"1974","73894","8.3 %","12.9 %","0.64",".258",".323",".371",".694",".113","4.2",".282","","","-26.8","8012","45.8",".319","100"
"1975","73778","9.0 %","12.9 %","0.70",".258",".328",".379",".707",".121","4.3",".280","","","-33.6","8251","157.8",".324","100"
"1976","73644","8.3 %","12.4 %","0.67",".256",".320",".361",".681",".105","4.9",".280","","","-2.0","7756","23.8",".315","100"
"1977","86639","8.4 %","13.0 %","0.65",".266",".330",".405",".735",".139","4.6",".287","","","-23.8","10248","163.4",".326","100"
"1978","85873","8.5 %","11.8 %","0.72",".261",".326",".385",".711",".124","4.5",".280","","","-37.2","9605","296.0",".322","100"
"1979","86258","8.6 %","11.7 %","0.73",".270",".334",".408",".743",".139","4.7",".286","","","-9.6","10537","470.3",".331","100"
"1980","87147","8.3 %","11.9 %","0.70",".269",".331",".399",".731",".130","4.7",".288","","","-27.5","10259","498.2",".328","100"
"1981","56868","8.4 %","12.1 %","0.69",".256",".321",".373",".693",".116","4.2",".276","","","-21.2","6095","106.9",".317","100"
"1982","87001","8.4 %","12.6 %","0.67",".264",".328",".402",".730",".138","4.3",".282","","","-33.8","10310","531.5",".326","100"
"1983","86690","8.2 %","12.6 %","0.65",".266",".328",".401",".728",".135","4.8",".286","","","-1.4","10210","405.8",".325","100"
"1984","86855","8.3 %","13.3 %","0.62",".264",".326",".398",".724",".134","4.5",".285","","","-35.8","10165","472.4",".325","100"
